address,pred-POI,truth-POI,pred-building,truth-building,pred-unit,truth-unit,pred-floor,truth-floor,pred-room,truth-room
龙华筑梦自如寓美团外卖柜,龙华筑梦自如寓美团外卖柜,龙华筑梦自如寓美团,,,,,,,,外卖柜
8号仓奥特莱斯 (负一楼彪马puma/b123，),8号仓奥特莱斯,8号仓奥特莱斯 ,,,,,负一楼1,负一楼,13,b123
星河银湖谷3-b栋 (4003),星河银湖谷,星河银湖谷3,3-b栋,b栋,,,40,40,4003,4003
金禾大厦 (泰普达科技有限公司306 (顺友物流这边上来)),金禾大厦 (泰普达科技有限公司,金禾大厦 (泰普达科技有限公司),,,,,3,3,306,306
嘉熙业广场写字楼 (11楼1115号),嘉熙业广场写字楼,嘉熙业广场写字楼,,,,,11楼,11,1115号,1115
七星商业广场写字楼b栋 (12层尚闻集团),七星商业广场写字楼,七星商业广场写字楼,b栋,b栋,,,12层,12,,
紫薇花园南6 (紫薇花园南6栋202),紫薇花园,紫薇花园南,6栋,6栋,,,2,2,202,202
京东都市 (深圳市龙岗区坂田街道布龙路663号(京东都市 )c栋1楼101 (飞途出行)),京东都市 (深圳市龙岗区坂田街道布龙路663号(京东都市 ),京东都市 (深圳市龙岗区坂田街道布龙路663号),c栋,c栋,,,1楼,1楼,101 ,101
深圳市柠檬树科技有限公司-1号楼 (南坑区水库路2号一栋5楼),深圳市柠檬树科技有限公司-1号楼 (南坑区水库路2号),深圳市柠檬树科技有限公司,一栋,1号楼,,,5,5楼,,
华业玫瑰四季 (一期1栋3座23c),华业玫瑰四季一期,华业玫瑰四季 (一期),1栋3座,1栋3座,,,23,23,c,c
信顺连锁便利店(南坑路店) (南4巷5号 1102),信顺连锁便利店(南坑路店) (南4巷5号),信顺连锁便利店(南坑路店)南4巷5号,,,,,11,11,1102,1102
伍和百货(光雅园总店) (伍和百货左边的1985园中园8号综合楼403室),伍和百货(光雅园总店)1985园中园,伍和百货左边的1985园中园8号综合楼,8号,,,,4,4,403室,403
星河2期二楼平台c座出门左手黄色无人机外卖柜 (1),星河2期台,星河2期二楼平台c座出门左手黄色无人机 ,c座,,,,楼,,外卖柜,外卖柜
宝捷讯工业园美团外卖柜,宝捷讯工业园美团,宝捷讯工业园美团外卖柜,,,,,,,外卖柜,
卓能雅苑 (卓能雅苑6b12a),卓能雅苑,卓能雅苑,6,6b,b,,12,12,a,a
御龙华庭 (3栋401),御龙华庭,御龙华庭 ,3栋,3栋,,,4,4,401,401
莱蒙·水榭春天3期 (9栋29b),莱蒙·水榭春天3期,莱蒙·水榭春天3期 ,9栋,9栋,,,29,29,b,b
古德菲力健身(坂田cocopark店) (前台),古德菲力健身(坂田cocopark店),古德菲力健身(坂田cocopark店) (前台),,,,,,,,
春华四季园-东门 (10栋-1-10b),春华四季园-东门,春华四季园-东门 ,10栋,栋,,,10,10,b,b
祥昭大厦(正门) (福龙路祥绍大厦旁边4栋宿舍楼610房),祥昭大厦(正门),福龙路祥绍大厦,4栋宿舍楼,4栋,,,6,6,610房,610
悦龙华府一期-3号楼 (3栋1407),悦龙华府一期,悦龙华府一期,号楼3栋,3号楼,,,14,14,1407,1407
美吉姆儿童发展中心(坂田中心) (3楼美吉姆),美吉姆儿童发展中心(坂田中心),美吉姆儿童发展中心(坂田中心),,,,,3,3楼,,
星河world f座 (25层2506室),星河world,星河world,f座,f座,,,25,25,2506室,2506
五和小学 (万科第五园四期7栋1802室),五和小学 (万科第五园四期),五和小学 (万科第五园四期),7栋,7栋,,,18,18,1802室,1802
金方华电商产业园(雅园路)-6栋 (6栋b101),金方华电商产业园(雅园路),金方华电商产业园(雅园路),6栋,6栋,b,,1,1,101,b101
华业玫瑰四季花园2期 (1栋2单元17楼c),华业玫瑰四季花园2期,华业玫瑰四季花园2期 ,1栋,1栋,2单元,2单元,17楼,17楼,c,c
龙光玖钻 (5a2309),龙光玖钻,龙光玖钻,5a,5,,a,23,23,2309,2309
横岭村四区13栋 (my home 公寓3a),横岭村四区y home 公寓,横岭村四区,1栋,1栋,,,3,3,a,a
星河world·coco park (4楼梵音瑜伽),星河world·coco park,星河world·coco park ,,,,,4楼,4,,
绿景公馆1866南区 (b1栋5楼f号),绿景公馆1866南区,绿景公馆1866南区 ,b1栋,b1栋,,,5楼,5,f号,f
深圳北站西广场-出站口b1(西1出站口口) (深圳北站西广场b1出口下电梯负二楼右边测温台),深圳北站西广场-出站口,深圳北站西广场-出站口b1(西1出站口口),b,,,负二楼,负二楼,,,
佐[UNK]香颂购物中心 (a入口台盖),佐[UNK]香颂购物中心 ,佐[UNK]香颂购物中心,a,,,,,,,
泊寓(麒麟公社店)-15号楼 (706室),泊寓(麒麟公社店),泊寓(麒麟公社店),15号楼,15号楼,,,7,7,706室,706
深圳市龙华区华南实验学校 (学校北门),深圳市龙华区华南实验学校 (北门),深圳市龙华区华南实验学校 (学校北门),,,,,,,,
星河worldc座 (32层元鼎),星河world,星河world,c座,c座,,,32层,32,,
本丰写字楼 (7楼),本丰写字楼,本丰写字楼 ,,,,,7,7楼,,
1970科技园 (8栋215拓诺科技),1970科技园,1970科技园 ,8栋,8栋,,,2,2,215,215
塘水围老村-121栋 (121栋1203),塘水围老村,塘水围老村,21栋,1栋,,,1,12,1203,1203
白石龙老村-38号楼 (福和公寓a503),白石龙老村),白石龙老村,38号楼,38号楼,a,a,5,5,503,503
深澳文化产业园-12号楼 (深澳产业园12栋305),深澳文化产业园,深澳文化产业园-12号楼,12号楼,12栋,,,3,3,305,305
平安银行(深圳龙岗支行) (吉祥路173号平安银行龙岗支行),平安银行(深圳龙岗支行) (吉祥路173号平安银行龙岗支行),平安银行(深圳龙岗支行),,,,,,,,
星河world(二期)-c座 (2楼大厅门口),星河world(二期),星河world(二期),c座,c座,,,2楼,2,,
和风社区健康服务中心新冠疫苗接种点 (不是正大门，计免科打疫苗处),和风社区健康服务中心新冠疫苗接种点 大,和风社区健康服务中心新冠疫苗接种点 (不是正大门，计免科打疫苗处),,,,,,,,
向银路17号 (17号公寓903),向银路7号,向银路17号公寓,1,,,,9,9,903,903
星河丹堤花园d区-11栋 (1102),星河丹堤花园d区,星河丹堤花园d区,11栋,栋,,,1,11,1102,1102
鸿荣源·天俊(建设中)-c栋 (50楼),鸿荣源·天俊(建设中),鸿荣源·天俊(建设中),c栋,c栋,,,50楼,50,,
港铁天颂-c栋 (党群服务中心旁警厅走廊内电梯上b1层),港铁天颂,港铁天颂,c栋,c栋,,,1层,,b,
东边旧村31栋 (佰润便利商店521号民治大道上东边公交车站后面),东边旧村(佰润便利商店5号民治大道上东边公交车站后面),东边旧村(佰润便利商店521号民治大道上东边公交车站后面),31栋,31栋,,,,,21,
万科第五园5期 (12栋1202室),万科第五园5期,万科第五园5期,栋,栋,,,12,12,1202室,1202
星河银湖谷3-b栋 (4003),星河银湖谷,星河银湖谷3,3-b栋,b栋,,,40,,4003,4003
悦龙华府一期 (带回希尔顿酒店),悦龙华府一期,悦龙华府一期 (带回希尔顿酒店),,,,,,,,
宝良公寓 (龙塘西七巷5栋宝良公寓，402),龙塘西七巷,宝良公寓,5栋,5栋,,,4,4,402,402
中裕冠产业园c栋 (2楼206),中裕冠产业园,中裕冠产业园,c栋,c栋,,,2楼,2,206,206
民治(地铁站) (东边商务大楼5028),民治(地铁站),东边商务大楼,,,,,50,5,5028,5028
龙军工业区 (龙军工业区9栋3楼303),龙军工业区,龙军工业区 ,9栋,9栋,,,3,3楼,303,303
民乐新村-119栋 (承意公寓119栋804),民乐新村,民乐新村承意公寓,119栋,119栋,,,8,8,804,804
海航城1期 (北苑2栋),海航城1期 (北苑),海航城1期,2栋,2栋,,,,,,
山水时尚酒店(深圳坂田华为基地店) (9008),山水时尚酒店(深圳坂田华为基地店),山水时尚酒店(深圳坂田华为基地店),,,,,90,,9008,9008
深圳星河吉酒店，臻品之选 (1611),深圳星河吉酒店，臻品之选,深圳星河吉酒店，臻品之选 ,,,,,16,16,1611,1611
星河world2期 (e栋20楼灼华网络),星河world期,星河world2期,e栋,e栋,,,220楼,20楼,,
云里智能园 (4栋501单元),云里智能园,云里智能园 ,4栋,4栋,1单元,501单元,5,,50,
hbc汇隆中心 (公寓楼1409号),hbc汇隆中心,hbc汇隆中心 (公寓楼),公寓楼,,,,14,14,1409号,1409号
新惠公寓 (天猫小店左侧新惠公寓508),天猫小店左侧新惠公寓,天猫小店左侧新惠公寓,,,,,5,5,508,508
梵熙精品商务酒店(深圳坂田光雅园地铁站店) (6楼609),梵熙精品商务酒店(深圳坂田光雅园地铁站店),梵熙精品商务酒店,,,,,6楼,6,609,609
安宏基天曜广场-a栋 (30楼),安宏基天曜广场,安宏基天曜广场,a栋,a栋,,,30楼,30,,
中信银行(龙华支行) (给保安),中信银行(龙华支行) (给保安),中信银行(龙华支行),,,,,,,,
横岭1区39号楼 (蓝牌39栋103新旧货买卖),横岭1区,横岭区,39栋,39栋,,,,1,103,103
华业玫瑰四季2期-3栋-一单元 (3栋1单元11b),华业玫瑰四季2期,华业玫瑰四季2期,3栋,3栋,一单元1,一单元,11,11,b,b
滢水山庄 (5栋603),滢水山庄,滢水山庄 ,5栋,5栋,,,6,6,603,603
yes公寓(民治店) (54栋204房),yes公寓(民治店),yes公寓(民治店),54栋,54栋,,,2,2,204房,204
星河world (e座2楼大堂左侧),星河world,星河world ,e座,e座,,,2楼,2,,
茂和工业园 (a1栋创意楼102),茂和工业园,茂和工业园 ,a1栋,a栋,,,,1,102,102
榕寓banyan accommodation (8巷4-8号榕寓前台),榕寓banyan accommodation),榕寓banyan accommodation (8巷4-8号榕寓前台),8,,,,,,4,
秋瑞大厦 (806),秋瑞大厦,秋瑞大厦 ,,,,,8,8,806,806
中航健身会(绿景1866分店) (健身房),中航健身会(绿景1866分店) (健身房),中航健身会(绿景1866分店),,,,,,,,
星河world-g座 (9楼),星河world,星河world,g座,g座,,,9楼,9,,
壹间公寓·坂田嘉御山六期-12号楼 (2007),壹间公寓·坂田嘉御山六期,壹间公寓·坂田嘉御山六期,12号楼,12号楼,,,,20,2007,2007
麒麟东园 (泊寓坂田麒麟店五巷2号1005室),麒麟东园 (泊寓坂田麒麟店五巷2号),泊寓坂田麒麟店五巷2号,,,,,10,10,1005室,1005室
南约汉田小区 (2巷16栋),南约汉田小区 (2巷),南约汉田小区(2巷),16栋,16栋,,,,,,
龙华区科技创新中心-23座 (b门1003),龙华区科技创新中心,龙华区科技创新中心,23座,23座,,b,10,10,1003,1003
金方华电商产业园(雅园路) (6栋b202(没接电话就放红色桌上谢谢)),金方华电商产业园(雅园路),金方华电商产业园(雅园路) ,6栋,6栋,b,,2,2,202,b202
合正中央原著 (15号商铺深惠地产),合正中央原著,合正中央原著 ,,,,,,,15,15号
爱联岗贝小区-东北1门 (时代公寓7-4(b栋7楼)),爱联岗贝小区-东北1门 (时代公寓)),爱联岗贝小区-东北1门,b栋,b栋,,,77楼,7,4,
光雅园承包店 (光雅园一巷21号310),光雅园承包店 (光雅园一巷),光雅园一巷21号,21号,,,,3,3,310,310
民乐新村164栋 (民乐新村164栋405),民乐新村,民乐新村,64栋,16栋,,,1,4,405,405
皓月花园-1栋 (b1单元(三单元)506),皓月花园,皓月花园,1栋,1栋,b1单元三单,三单元,5,5,506,506
潜龙鑫茂花园b区-2栋 (龙华区民治潜龙鑫茂花园b区2栋1单元4f),潜龙鑫茂花园b区,龙华区民治潜龙鑫茂花园b区,2栋,2栋,1单元,1单元,4,4,f,f
创客工坊 (201),创客工坊,创客工坊 ,,,,,2,2,201,201
悦龙华府一期 (悦龙华府希尔顿酒店),悦龙华府一期 (悦龙华府希尔顿酒店),悦龙华府希尔顿酒店,,,,,,,,
星河world-g座 (9楼凯儿得乐(放去711对面的外卖柜)谢谢),星河world,星河world,g座,g,,,9楼,9,,
龙光玖钻-4e栋 (1836房间),龙光玖钻,龙光玖钻,4e栋,4e栋,,,18,18,1836,1836房
展滔科技大厦 (展涛c座1806放门口货架上谢谢 请不要给代送),展滔科技大厦,展滔科技大厦 ,c座,c座,,,18,18,1806,1806
龙华城市客厅(民繁路店) (在开心麻花剧场正门对面一栋楼就是前台),龙华城市客厅(民繁路店) ,龙华城市客厅(民繁路店),,,,,,,,
锦绣东方a区 (快意阁 11b),锦绣东方a区 (快意阁),锦绣东方a区,,,,,11,11,b,b
碧桂园观麓花园 (西区公寓b栋6楼612),碧桂园观麓花园 (西区公寓),碧桂园观麓花园,b栋,b栋,,,6,6,612,612
莱蒙·水榭春天6期 (a区5栋27c),莱蒙·水榭春天6期a,莱蒙·水榭春天6期,5栋,5栋,,,27,27,c,c
溪山美地-14号楼 (龙华区民治街道 梅坂大道236号 溪山美地园14b栋6cd),龙华区民治街道 梅坂大道236号 溪山美地园,龙华区民治街道 梅坂大道23号 溪山美地园,14b栋,14b栋,,,6,6,cd,cd
君恒·愉酒店式服务公寓 (润达圆庭e栋32a),君恒·愉酒店式服务公寓 (润达圆庭),君恒·愉酒店式服务公寓,e栋,e栋,,,32,32,a,a
横岭5区 (悦湖大厦15楼b6),横岭5区 (悦湖大厦),横岭5区,,,,,15楼,15,b6,b6
悦湖大厦 (横岭五区39栋301),悦湖大厦 (横岭五区),悦湖大厦 (横岭五区),9栋,9栋,,,3,3,301,301
1970科技小镇 (5栋106),970科技小镇,970科技小镇,5栋,5栋,,,1,1,106,106
隐龙谷 (a栋一楼116 (面对隐龙谷招牌的右手边)),隐龙谷,隐龙谷,a栋,a栋,,,一楼,1,116 ,116
松仔园二区-54号楼 (四方公寓9楼909),松仔园二区,松仔园二区(四方公寓),54号楼,54号楼,,,9,9楼,909,909
远景大厦 (远景大厦),远景大厦,远景大厦 (远景大厦),,,,,,,,
麒麟山东园 (泊寓a栋),麒麟山东园 (泊寓),麒麟山东园,a栋,a栋,,,,,,
鑫鼎尚汽车美容(怡翠路店) (旁边办公室),鑫鼎尚汽车美容(怡翠路店) (旁边办公室),鑫鼎尚汽车美容(怡翠路店),,,,,,,,
和磡住宅2区 (28栋302(扫码可进)),和磡住宅2区,和磡住宅2区 ,28栋,28栋,,,3,3,302,302
江南创意大厦 (12楼01 ),江南创意大厦,江南创意大厦 ,,,,,12楼,12楼,01,01
一支舞蹈 (前台),一支舞蹈 (前台),一支舞蹈 ,,,,,,,,
珠江·旭景佳园 (二期7a806),珠江·旭景佳园期),珠江·旭景佳园 (二期),7,7,a,a,8,8,806,806
吉盛楼c区 (c219(放架子上)),吉盛楼c区,吉盛楼区,,,,c,2,2,219,219
东进1号文化创意园 (嘉恒居a518),东进1号文化创意园,东进1号文化创意园 (嘉恒居),a,,,,5,5,518,a518
凤凰花酒店(深圳北站店) (凤凰花酒店17层),凤凰花酒店(深圳北站店),凤凰花酒店(深圳北站店) ,,,,,17层,17,,
香港琴轩音乐艺术中心 (香港琴轩音乐艺术中心),香港琴轩音乐艺术中心 (心),香港琴轩音乐艺术中心 (香港琴轩音乐艺术中心),,,,,,,,
南联公寓 (222),南联公寓,南联公寓 ,,,,,2,2,222,222
星河world1期-a座 (深圳市龙岗区坂田街道南坑社区雅宝路1号星河worlda2303b 敏敏 13510705395),星河world1期岗区坂田街道南坑社区,星河world1期(深圳市龙岗区坂田街道南坑社区雅宝路1号),a座,a座,,,23,23,2303b,2303b
华府大厦(永香西路) (和磡村永香西路华府大厦后面(村里面)旁边楼门牌永香西路11),华府大厦(永香路)(和磡村永香西路华府大厦后面(村里面)旁边楼,华府大厦(永香西路) (和磡村永香西路华府大厦后面(村里面)旁边楼门牌永香西路),,,,,,,,11
民乐大厦 (民乐大厦445室),民乐大厦,民乐大厦 ,,,,,4,4,445,445
星河worldc座 (外卖柜),星河world(),星河world,c座,c座,,,,,外卖柜,
和磡工业区-东门 (b3栋3楼),和磡工业区-东门,和磡工业区-东门,b3栋,b栋,,,3楼,3,,
悦龙华府2期 (6b_1905),悦龙华府2期,悦龙华府2期,6,6b,b,,19,19,1905,1905
星河world1期a座 (16楼瑞捷前台),星河world1期,星河world1期,a座,a座,,,16楼,16,,
喜洋洋便利店(南坑路店) (南坑南七巷1号吉祥公寓502),喜洋洋便利店(南坑路店),喜洋洋便利店 (南坑南七巷1号吉祥公寓),,,,,5,5,502,502
万科四季花城南区 (六期银桦f302),万科四季花城南区,万科四季花城南区 (六期银桦),f,f,,,3,3,302,302
海韵大厦 (后门南门5楼),海韵大厦 (后门南门),海韵大厦 (后门南门),,,,,5楼,5,,
万科第五园四期 (6栋1704室),万科第五园四期,万科第五园四期,6栋,6栋,,,17,17,1704室,1704
松仔园b区-58号楼 (a408),松仔园b区,松仔园b区,58号楼,58号楼 ,a,a,4,4,408,408
东明大厦(民康路) (1621),东明大厦(民康路),东明大厦(民康路) ,,,,,16,16,1621,1621
星河world·coco park (古德菲力健身房前台),星河world·coco park,星河world·coco park (古德菲力健身房前台),,,,,,,,
合正中央原著 (北区5栋1单元27ab),合正中央原著),合正中央原著 (北区),5栋,5栋,1单元,1单元,27,27,ab,ab
吉康汽车服务中心 (旁边的黑色大铁门。到了打电话),吉康汽车服务中心 (旁边黑色大铁门。到了打电话),吉康汽车服务中心,,,,,,,,
天虹购物中心 (龙华天虹购物中心二楼215号patavinity),天虹购物中心,龙华天虹购物中心,,,,,二楼,二楼,215,215号
龙光·玖钻4e (26楼2617),龙光·玖钻,龙光·玖钻,4e,4e,,,26,26楼,2617,2617
万科星火online-7栋 (105a),万科星火online,万科星火online,7栋,7栋,,,1,10,105a,105a
泊寓(坂田麒麟店)-b栋 (麒麟东五巷二号807),泊寓(坂田麒麟店),泊寓(坂田麒麟店)(麒麟东五巷二号),b栋,b栋,,,8,8,807,807
东边商务大楼 (5028),东边商务大楼,东边商务大楼,,,,,50,5,5028,5028
荔苑新村 (泊寓1栋1102),荔苑新村 (泊寓),荔苑新村,1栋,1栋,,,11,11,1102,1102
恒勤大厦 (停车场尽头大米和小米2楼),恒勤大厦,恒勤大厦 (停车场尽头大米和小米楼),,,,,2,2,,
中航天逸花园 (a2a-2402),中航天逸花园,中航天逸花园 ,a2,a,,2a,24,24,2402,2402
南星河world二期-e座 (8楼809),南星河world二期,南星河world二期,e座,e座,,,8楼,8,809,809
东头村-41号楼 (深圳市龙华区龙华街道民治东头村41栋[UNK]6(309)),深圳市龙华区龙华街道民治东头村,深圳市龙华区龙华街道民治东头村,41栋,41栋,,6,63,3,6309,309
鹏润达环球服贸广场 (商场四楼昊翰品牌孵化4008),鹏润达环球服贸广场,鹏润达环球服贸广场 ,,,,,四楼40,40,4008,4008
全汁原味驴庄(坂田店) (全汁美味505),全汁原味驴庄(坂田店),全汁原味驴庄(坂田店) ,,,,,5,5,505,505
东边新村二区-7栋 (宝华药行东边新村分店7栋),东边新村二区宝华药行东边新村分店,东边新村二区(宝华药行东边新村分店),7栋,7栋,,,,,,
泊寓(坂田星火online店) (一楼130号外卖可以送进来请送进来),泊寓(坂田星火online店),泊寓(坂田星火online店),,,,,一楼,一楼,130号,
源创-空间 (南区2号楼606),源创-空间 (南区),源创-空间,2号楼,2号楼,,,6,6,606,606
星河丹堤e区 (1栋101(1号岗亭左转50米上楼梯)),星河丹堤e区,星河丹堤e区 ,1栋,栋,,,5,1,101,101
悦龙华府二期 (悦龙华府二期),悦龙华府二期 ,悦龙华府二期 (悦龙华府二期),,,,,,,,
桥香花园 (坂田街道光雅园民营住宅区4巷2号 1402(放1402门口架子上),桥香花园 (坂田街道光雅园民营住宅区4巷2号),坂田街道光雅园民营住宅区4巷2号,,,,,14,14,1402,1402
一帆台球棋牌俱乐部 (二楼台球俱乐部隔壁会议室b211(打电话)),一帆台球棋牌俱乐部,一帆台球棋牌俱乐部,,,,,二楼2,2,b21,b211
九行星科技 (一楼外卖架),九行星科技,九行星科技 (),,,,,一楼,一楼,,外卖架
星河丹堤 (f区2栋1单元2903),星河丹堤 (f区),星河丹堤f区,2栋,2栋,1单元,1单元,29,29,2903,2903
星河world-g座 (g座2楼),星河world,星河world,g座,g座,,,2楼,2,,
百佳永辉超市(龙岗雅宝星河店) (cocopark1楼p&b女包),百佳永辉超市(龙岗雅宝星河店),百佳永辉超市(龙岗雅宝星河店),,,,,1楼,1,,
大发埔街市-南门 (坂田街道大发埔东村二巷1号306),大发埔街市-南门田街道大发埔东村二巷1号,大发埔街市-南门 (坂田街道大发埔东村二巷1号),,,,,3,3,306,306
蔚来交付中心(深圳坂田) (2楼),蔚来交付中心(深圳坂田),蔚来交付中心(深圳坂田),,,,,2楼,2,,
锦绣华晟家园-3号楼 (3栋1820),锦绣华晟家园,锦绣华晟家园,3栋,3号楼,,,18,18,1820,1820
8号仓奥特莱斯 (负一楼彪马puma/b123，),8号仓奥特莱斯,8号仓奥特莱斯 ,,,,,负一楼1,负一楼,13,b123
宝龙小区 (3巷11号4楼401),宝龙小区 (3巷11号),宝龙小区 (3巷),,11号,,,4,4,401,401
鑫茂写字楼 (鑫茂写字楼b区3009upartner，推开门放置门口小茶几上),鑫楼,鑫茂写字楼,,,,,30,30,3009,3009
榴芒果(华为店) (水斗坑东村四巷16号604(门可直接拉开)),榴芒果(华为店) (水斗坑东村四巷号)),榴芒果(华为店) (水斗坑东村四巷1号),,,,,16,6,604,604
星河world二期-b栋 (龙岗区星河world  b座 智能柜),星河world二期,星河world二期,b栋,b栋,,,,,,智能柜
华侨城北站壹号-公寓楼 (2203),华侨城北站壹号公寓楼,华侨城北站壹号-公寓楼,,,,,22,22,2203,2203
樟坑1区48号 (48栋603),樟坑1区号,樟坑1区,848栋,48栋,,,6,6,603,603
民乐科技园 (民乐科技园民乐统建楼2栋1408),民乐科技园,民乐科技园 (民乐科技园民乐统建楼),2栋,2栋,,,14,14,1408,1408
紫寓公寓酒店(深圳北站店) (a707),紫寓公寓酒店(深圳北站店),紫寓公寓酒店(深圳北站店),a,,,,7,7,707,a707
电梯房招租 (1111),电梯房招租,电梯房招租 ,,,,,11,11,1111,1111
东边商业大厦 (深圳市龙华区民治大道222号东边商业大厦911),深圳市龙华区民治大道222号东边商业大厦,东边商业大厦,,,,,9,9,911,911
横岭四区-89栋 (木屋烧烤),横岭四区,横岭四区(木屋烧烤),89栋,89栋,,,,,,
塘水围电竞 (包间109),塘水围电竞 (包间),塘水围电竞 ,,,,,1,,109,109
龙光玖钻-1栋 (深圳市龙华区龙光玖钻1b1405房，李珊13316992785),深圳市龙华区龙光玖钻,深圳市龙华区龙光玖钻,1,1b,b,,14,14,1405,1405
泊寓(坂田星火online店)-16栋 (2层204室(楼栋西侧红砖处侧门进)),泊寓(坂田星火online店),泊寓(坂田星火online店),16栋,16栋,,,2层,2,204室,204
深圳北站 (a1出站口交给工作人员  打电话),深圳北站 a1出站口交给工作人员,深圳北站 (a1出站口交给工作人员  打电话),,,,,,,,
东明大厦 (东明大厦5楼506),东明大厦,东明大厦 ,,,,,5,5楼,506,506
星动力体育中心(坂田店) (星动力体育中心),星动力体育中心(坂田店) ,星动力体育中心(坂田店) (星动力体育中心),,,,,,,,
香林世纪华府 (5栋2单元1506),香林世纪华府,香林世纪华府 ,5栋,5栋,2单元,2单元,15,15,1506,1506
家乐通便利店(南坑路店) (楼上701号房),家乐通便利店(南坑路店),家乐通便利店(南坑路店),,,,,7,7,701,701号
塘水围1区 (66栋乐乎有朋公寓  1007(十楼)),塘水围1区,塘水围1区,66栋,66栋,,,10十楼,十楼,1007,1007
星河world-f座 (31楼 ),星河world,星河world,f座,f座,,,31,31楼,,
强健大厦 (深圳市龙华区强健大厦1407),强大厦圳市龙华区,深圳市龙华区强健大厦,,,,,14,14,1407,1407
龙华港深国际大厦 (深圳龙华区港深国际中心六楼636),深圳龙华区港深国际中心,龙华港深国际大厦 ,,,,,六楼,六楼,636,636
嘉熙业广场 (8楼841号),嘉熙业广场,嘉熙业广场,,,,,8,8楼,841号,841号
银湖谷花园-1号楼 (龙岗区星河银湖谷1栋0单元18层1803),湖谷花园龙河银湖谷,龙岗区星河银湖谷,1栋,1栋,0单元,0单元,18层,18,1803,1803
星河world-g座 (星河world g2栋10楼),星河world,星河world,g2栋,g2栋,,,10楼,10,,
万科星火online-西2门 (6栋107-108室),万科星火online-西2门,万科星火online-西2门,6栋,6栋,,,1,1,107-108室,107-108
茂和工业园 ((进入园区右手边走到头)),茂和工业园 ((进入园区右手边走到头)),茂和工业园 ,,,,,,,,
民乐科技园 (圆梦科技大厦810),民乐科技园 (圆梦科技大厦),民乐科技园,,,,,8,8,810,810
阳光第五季花园 (赏菊阁2单元10c),阳光第五季花园 (赏菊阁),阳光第五季花园 (赏菊阁),,2单元,2单元,,10,10,c,c
龙光·玖龙玺 (h座16层d房),龙光·玖龙玺,龙光·玖龙玺,h座,h座,,,16层,16层,d,d房
星河world-f座 (17层),星河world,星河world,f座,f座,,,17层,17,,
雅星大厦 (雅星大厦201室八队科技),雅星大厦,雅星大厦,,,,,2,2,201,201室
绿城科技园-b栋 (坂田街道绿城科技园b栋4楼电梯口出门右拐404   408),绿城科技园坂田街道绿城科技园,绿城科技园,b栋,b栋,,,4楼,4楼,404408,404
at mall上塘荟 (上塘荟l2层047号珍爱网),at mall上塘荟,at mall上塘荟,,l2层,,,2层,,47,47
星河传奇·铂寓 (三期a座2811),星河传奇·铂寓三期),星河传奇·铂寓 (三期),a座,a座,,,28,28,2811,2811
莱蒙·水榭春天5期-南门 (莱蒙水榭春天5期3b16b),莱蒙·水榭春天5期-南门,莱蒙·水榭春天5期-南门,,3,,,316,16,b,b
金广公寓 (和东街6号楼207室),金广公寓 (和东街),金广公寓,6号楼,6号楼,,,2,2,207室,207室
生耀服装公司 (嘉文科技5楼办公室),生耀服装公司,生耀服装公司 (嘉文科技),,,,,5楼,5楼,,
淘景商务大厦 (7008),淘景商务大厦,淘景商务大厦,,,,,7,70,7008,7008
美集速来(深圳物流处理中心) (33号(互邮)),美集速来(深圳物流处理中心) 3,美集速来(深圳物流处理中心) (33号(互邮)),,,,,,,,
星河wolda座大厦 (17楼),星河wold,星河wold,a座,a座,,,17楼,17,,
宝明杰汽车服务(南联店) (三华里公寓411号),宝明杰汽车服务(南联店),宝明杰汽车服务(南联店) (三华里公寓),,,,,4,4,411号,411
星河world大厦-c座 (c座放在一楼外卖柜),星河world大厦,星河world大厦,c座,c座,,,一楼,一楼,,外卖柜
莱蒙·水榭春天6期 (a区2栋28b),莱蒙·水榭春天6期a区,莱蒙·水榭春天6期,2栋,2栋,,,28,28,b,b
卓能雅苑-2号楼 (2栋a单元15c),卓能雅苑,卓能雅苑-2号楼,2栋,2栋,a单元,a单元,15,15,c,c
1918店 (龙岗区坂田街道长坑区二巷11号1918公寓603房),龙岗区坂田街道长坑区二巷11号,1918店 (龙岗区坂田街道长坑区二巷11号),,,,,6,6,603房,603
和磡村 (五和大道和磡村球场西四巷七号5楼505 放在门口),五和大道和磡村球场西四巷七号,和磡村 (五和大道和磡村球场西四巷号),,,,,5楼,5,505,505
三鼎电商大厦 (三楼，洗手台隔壁，312，不要按门玲),三鼎电商大厦,三鼎电商大厦,,,,,楼,3,312,312
南坑老村 (5巷3号502),南坑老村 (巷号),南坑老村 (巷3号),,,,,53,5,502,502
龙璧工业城 (14栋4楼东边),龙璧工业城,龙璧工业城,14栋,14栋,,,,4楼,,
维也纳国际酒店·深圳坂田杨美地铁站店 (放楼下就行),维也纳国际酒店·深圳坂田杨美地铁站店 ,维也纳国际酒店·深圳坂田杨美地铁站店 (放楼下就行),,,,,,,,
美和苑 (和磡村7巷5号703),美和苑 (和磡村巷5号),美和苑 (和磡村巷5号),,,,,7,7,703,703
万科第五园5期 (深圳龙岗坂田万科第五园五期一栋403),深圳龙岗坂田万科第五园,深圳龙岗坂田万科第五园五期,一栋,一栋,,,4,4,403,403
星河worldb座 (2505b),星河world,星河world,b座,b座,,,25,25,2505b,2505
